SubjectID,Age,FootSide,Foot_Length_mm,Foot_Breadth_mm,Ball_Breadth_mm,Heel_Breadth_mm,Toe1_Length_mm,Toe2_Length_mm,Toe3_Length_mm,Toe4_Length_mm,Toe5_Length_mm,Midfoot_Width_mm,Foot_Index_pct,Arch_Index,Heel_Angle_deg,Toe_Angle_deg,Sex
S00001,33,Left,280.6,97.8,91.9,71.3,47.5,42.4,39.5,38.8,32.1,32.3,34.85,0.12,17.3,9.8,1
S00002,24,Right,234.9,98.7,84.4,59.0,35.5,34.6,30.0,26.4,26.1,27.7,42.02,0.12,25.1,12.0,0
S00003,35,Left,236.8,87.3,87.2,60.1,40.3,33.7,34.0,31.3,26.1,24.7,36.87,0.1,18.5,13.6,0
S00004,26,Left,226.8,81.8,86.6,59.7,35.5,34.0,30.7,29.9,25.1,27.5,36.07,0.12,23.0,9.6,0
S00005,28,Left,264.3,100.7,87.4,70.7,42.3,41.3,38.8,32.9,26.3,30.6,38.1,0.12,20.0,8.0,1
S00006,21,Left,268.8,109.9,90.1,69.9,42.8,37.7,34.1,37.0,29.2,32.9,40.89,0.12,16.9,17.3,1
S00007,30,Left,266.9,104.7,100.0,69.9,42.9,39.1,33.1,33.7,29.1,32.1,39.23,0.12,24.6,14.5,1
S00008,27,Left,250.9,80.7,81.6,56.6,39.7,36.2,35.5,27.8,27.7,30.1,32.16,0.12,25.6,9.0,0
S00009,26,Left,223.4,94.6,84.4,59.1,34.8,33.5,29.4,28.0,20.8,27.8,42.35,0.12,23.3,8.2,0
S00010,28,Left,224.4,95.2,73.4,61.8,36.0,34.0,32.2,28.1,27.6,30.2,42.42,0.14,17.7,9.5,0
S00011,18,Left,259.2,101.8,95.5,70.3,45.4,41.9,35.5,31.3,30.4,29.9,39.27,0.12,19.7,11.4,1
S00012,22,Left,243.4,92.4,79.6,56.8,35.5,35.9,32.1,28.5,26.6,29.7,37.96,0.12,26.3,7.0,0
S00013,31,Right,256.7,94.6,75.4,60.0,40.6,40.9,33.3,31.2,30.8,29.8,36.85,0.12,19.5,8.5,0
